datetime, usd, czk
2021.01.17 17:37:57,35789.94770764,751569
2021.01.17 18:36:15,35763.38029706,751023
2021.01.17 19:33:04,35941.21685126,754761
2021.01.17 20:17:15,35723.15687008,750183
2021.01.17 21:03:10,36106.47396026,758226
2021.01.17 21:41:10,36660.37569751,769860
2021.01.17 22:12:40,36597.93501709,768537
2021.01.17 23:06:27,36202.08388547,760242
2021.01.18 00:01:07,35806.84114170,751926
2021.01.18 01:47:04,35953.24166180,755013
2021.01.18 02:58:39,35780.83914699,751380
2021.01.18 04:02:58,35203.76317086,739263
2021.01.18 05:03:22,35204.19008555,739284
2021.01.18 06:00:59,35400.22544750,743400
2021.01.18 06:56:38,35206.01319838,739326
2021.01.18 07:58:29,36092.19750129,757932
2021.01.18 08:59:51,36201.60427458,760221
2021.01.18 10:02:24,36545.33572261,767445
2021.01.18 11:03:59,36147.11844645,759087
2021.01.18 11:59:23,36434.93996679,765114
2021.01.18 12:57:35,36997.93206958,776937
2021.01.18 14:03:11,36840.94005737,773640
2021.01.18 14:52:41,36318.43055188,762678
2021.01.18 15:22:51,36454.00726725,765534
2021.01.18 16:02:22,36516.59439235,766836
2021.01.18 17:26:50,35701.73676049,749721
2021.01.18 18:37:51,35818.06336630,752178
2021.01.18 19:37:00,35924.30073995,754404
2021.01.18 20:23:08,35880.00074800,753480
2021.01.18 21:08:41,36237.88607103,760977
2021.01.18 21:51:07,36270.78325588,761670
2021.01.18 22:18:09,36335.00861753,763035
2021.01.18 23:11:23,36512.67671217,766752
2021.01.19 00:10:18,36719.97313381,771099
2021.01.19 02:05:10,36993.06349736,776853
2021.01.19 03:27:01,36662.34214662,769902
2021.01.19 04:17:41,36660.97018489,769860
2021.01.19 05:17:19,36435.76799683,765135
2021.01.19 06:14:03,36449.36589411,765429
2021.01.19 07:12:00,36638.12612947,769398
2021.01.19 08:10:56,37053.31265347,778113
2021.01.19 09:12:55,37299.04759470,783279
2021.01.19 10:17:02,37231.53083137,781851
2021.01.19 11:14:48,37030.93590288,777630
2021.01.19 12:05:53,37375.62131282,784875
2021.01.19 13:10:18,36904.06480338,774984
2021.01.19 14:13:52,37057.89519582,778197
2021.01.19 14:58:33,37067.40329828,778407
2021.01.19 15:44:39,37108.44631389,779268
2021.01.19 16:22:52,37579.29515603,789159
2021.01.19 18:45:41,36858.51144235,774018
2021.01.19 19:40:03,36407.77770690,764547
2021.01.19 20:25:14,36300.42826545,762300
2021.01.19 21:13:59,36588.66012089,768348
2021.01.19 21:57:39,36554.91283350,767634
2021.01.19 22:50:00,36646.79069449,769566
2021.01.19 23:31:47,36354.52071898,763434
2021.01.20 00:25:07,36170.36405736,759570
2021.01.20 02:25:06,35860.24992246,753060
2021.01.20 03:44:40,35332.68587079,741972
2021.01.20 04:25:38,35259.12894425,740439
2021.01.20 05:27:17,35399.51357680,743379
2021.01.20 06:22:39,35370.83667822,742770
2021.01.20 07:18:44,35556.70907369,746676
2021.01.20 08:16:10,35587.85004531,747327
2021.01.20 09:18:32,35406.58795386,743526
2021.01.20 10:17:57,34759.21064477,729939
2021.01.20 11:18:03,34454.13720440,723534
2021.01.20 12:06:56,34214.07722375,718494
2021.01.20 13:10:47,34605.15101944,726705
2021.01.20 14:12:26,34993.62298634,734853
2021.01.20 14:59:30,34944.96882356,733824
2021.01.20 15:46:28,34631.82223306,727251
2021.01.20 16:23:24,34311.39261346,720531
2021.01.20 17:59:02,34897.35924997,732837
2021.01.20 19:05:05,35231.95684954,739851
2021.01.20 20:03:58,35327.74974188,741867
2021.01.20 20:54:53,35019.53601117,735399
2021.01.20 21:35:22,34747.75742276,729687
2021.01.20 22:11:22,34938.75514540,733698
2021.01.20 23:03:41,35054.97870695,736134
2021.01.21 00:00:32,35509.56170001,745689
2021.01.21 01:49:21,34840.11699985,731640
2021.01.21 03:02:43,34709.01685526,728889
2021.01.21 04:07:58,34772.25675584,730212
2021.01.21 05:11:32,34339.81638662,721119
2021.01.21 06:08:05,34677.18043003,728217
2021.01.21 07:07:05,34827.50792060,731367
2021.01.21 08:08:00,34663.30757711,727923
2021.01.21 09:10:39,33325.77057307,699825
2021.01.21 10:14:42,32663.38185990,685923
2021.01.21 11:15:23,32783.15746342,688443
2021.01.21 12:04:23,32299.50854921,678279
2021.01.21 13:03:41,32469.13342264,681849
2021.01.21 14:06:22,32366.88593631,679686
2021.01.21 15:02:19,31215.07528064,655515
2021.01.21 15:33:19,31448.74141886,660408
2021.01.21 16:17:15,31994.45458631,671874
2021.01.21 17:52:27,31906.09784736,670026
2021.01.21 18:43:56,31871.76885012,669291
2021.01.21 19:38:57,32505.68880455,682605
2021.01.21 20:21:27,32488.29194373,682248
2021.01.21 21:06:01,32009.73696613,672189
2021.01.21 21:47:24,31781.34716671,667401
2021.01.21 22:16:48,30675.59007482,644175
2021.01.21 23:10:27,31209.50721810,655389
2021.01.22 00:08:35,30594.51821820,642474
2021.01.22 02:03:41,30208.19342411,634368
2021.01.22 03:26:57,30396.78127121,638316
2021.01.22 04:19:23,31345.97196744,658245
2021.01.22 05:18:26,31183.16286565,654843
2021.01.22 06:14:00,31724.02539276,666204
2021.01.22 07:12:30,31852.94244654,668892
2021.01.22 08:11:06,30649.88124737,643629
2021.01.22 09:12:30,31418.82862853,659778
2021.01.22 10:12:57,31644.29257443,664524
2021.01.22 11:13:41,31886.31410163,669606
2021.01.22 12:04:35,31889.79116241,669669
2021.01.22 13:05:54,31548.74189985,662508
2021.01.22 14:08:16,32416.96846031,680736
2021.01.22 14:55:21,32487.18984075,682227
2021.01.22 15:39:34,32492.09942256,682332
2021.01.22 16:21:56,32298.32532478,678258
2021.01.22 17:53:22,32285.14937091,677985
2021.01.22 18:47:45,32956.13698681,692076
2021.01.22 19:41:21,33545.95191372,704445
2021.01.22 20:24:39,33690.11226173,707490
2021.01.22 21:12:37,33565.70135194,704865
2021.01.22 21:54:18,33339.98461849,700119
2021.01.22 22:37:15,33494.72969175,703374
2021.01.22 23:24:59,33044.82614637,693924
2021.01.23 00:18:14,32506.35318987,682626
2021.01.23 02:12:52,32845.01263780,689745
2021.01.23 03:31:00,32477.06192826,682017
2021.01.23 04:18:56,32769.45475034,688149
2021.01.23 05:17:33,32437.60341473,681177
2021.01.23 06:13:17,33315.77948524,699615
2021.01.23 07:09:40,32893.40537739,690753
2021.01.23 08:06:57,32752.32190664,687792
2021.01.23 09:05:05,33068.51295977,694428
2021.01.23 10:02:13,32531.33388972,683151
2021.01.23 11:01:07,32392.35169074,680232
2021.01.23 11:53:35,31886.55413444,669606
2021.01.23 12:32:52,31764.11175006,667044
2021.01.23 13:31:30,31963.77430560,671223
2021.01.23 14:19:20,31867.01833819,669207
2021.01.23 15:02:53,31749.62224622,666729
2021.01.23 15:47:20,32079.08367273,673659
2021.01.23 16:20:53,32064.20713400,673344
2021.01.23 17:50:56,32359.03070370,679539
2021.01.23 18:39:50,32083.49268474,673743
2021.01.23 19:36:17,32324.88252935,678804
2021.01.23 20:19:55,32239.77556056,677019
2021.01.23 21:06:15,32200.66396006,676200
2021.01.23 21:46:14,32227.41089155,676767
2021.01.23 22:15:12,32387.37102867,680127
2021.01.23 23:08:23,32002.02363881,672042
2021.01.24 00:03:52,31975.88439307,671475
2021.01.24 01:56:59,32013.81627139,672273
2021.01.24 03:25:54,32108.62745756,674268
2021.01.24 04:20:43,32420.56970554,680820
2021.01.24 05:18:33,32887.92980384,690627
2021.01.24 06:12:52,32786.26629949,688506
2021.01.24 07:10:19,32708.64333464,686868
2021.01.24 08:09:00,32875.79163098,690375
2021.01.24 09:08:07,32621.89233395,685041
2021.01.24 10:06:08,32646.37761148,685566
2021.01.24 11:04:43,32776.35683583,688296
2021.01.24 11:56:34,32766.48112690,688086
2021.01.24 12:55:02,32447.10552873,681387
2021.01.24 13:55:40,32260.18184676,677460
2021.01.24 14:44:52,32185.96213158,675885
2021.01.24 15:14:11,32150.03907359,675150
2021.01.24 15:58:41,31964.91997647,671244
2021.01.24 17:18:00,31885.33018450,669585
2021.01.24 18:33:28,31852.38464728,668892
2021.01.24 19:32:10,31143.81245770,654003
2021.01.24 20:18:00,31398.02076857,659358
2021.01.24 21:04:47,31701.86767524,665721
2021.01.24 21:45:10,31780.96879554,667380
2021.01.24 22:16:17,31888.06347360,669648
2021.01.24 23:09:17,32240.83670460,677040
2021.01.25 00:05:06,32279.75833044,677859
2021.01.25 01:57:58,32810.59112305,689010
2021.01.25 03:25:02,32628.91638330,685188
2021.01.25 04:17:08,33502.93559193,703542
2021.01.25 05:18:12,33297.71149612,699237
2021.01.25 06:14:06,33423.92386385,701883
2021.01.25 07:12:47,33399.16484625,701379
2021.01.25 08:11:46,33324.23197062,699804
2021.01.25 09:13:59,33396.09513811,701316
2021.01.25 10:15:01,33036.33516672,693756
2021.01.25 11:17:13,33090.56531071,694890
2021.01.25 12:05:42,33240.30340893,698040
2021.01.25 13:07:46,34183.83919303,717843
2021.01.25 14:10:21,34635.73463501,727335
2021.01.25 14:57:05,34482.77664704,724122
2021.01.25 15:44:13,34425.26896400,722925
2021.01.25 16:26:47,34046.73654787,714966
2021.01.25 17:54:33,33812.06412691,710052
2021.01.25 18:52:42,33766.95073801,709086
2021.01.25 19:45:27,33658.51027168,706818
2021.01.25 20:24:30,33372.78469710,700812
2021.01.25 21:13:08,33064.62444533,694344
2021.01.25 21:53:01,32747.52304530,687687
2021.01.25 22:19:29,32363.23670009,679623
2021.01.25 22:53:29,32542.56891065,683382
2021.01.25 23:17:07,32646.10874302,685566
2021.01.25 23:48:05,32461.51917824,681681
2021.01.26 00:03:51,32200.52201547,676200
2021.01.26 01:14:42,32456.22311779,681576
2021.01.26 02:10:09,32701.33873075,686721
2021.01.26 02:48:30,32434.89470149,681114
2021.01.26 03:06:08,32397.01519490,680337
2021.01.26 03:38:36,31841.71941413,668661
2021.01.26 04:01:34,31719.58526798,666099
2021.01.26 04:36:50,31832.62841079,668472
2021.01.26 05:02:44,32109.45333799,674289
2021.01.26 05:31:51,31988.73122365,671748
2021.01.26 05:51:45,32284.22389379,677964
2021.01.26 06:01:12,32284.22389379,677964
2021.01.26 06:33:25,31843.67146489,668703
2021.01.26 07:01:41,31693.14232425,665553
2021.01.26 07:32:47,31367.54492852,658707
2021.01.26 07:51:24,31596.19148214,663516
2021.01.26 08:00:07,31775.18927477,667275
2021.01.26 08:35:33,31890.35916737,669690
2021.01.26 09:01:13,31918.01238418,670278
2021.01.26 09:32:21,31651.78506361,664671
2021.01.26 09:57:20,31572.02810521,663012
2021.01.26 10:31:31,32396.19610479,680316
2021.01.26 10:52:52,32285.42516704,677985
2021.01.26 11:07:56,32244.05593372,677124
2021.01.26 11:32:57,32076.11062752,673596
2021.01.26 11:47:42,32080.41021404,673680
2021.01.26 11:56:38,31865.83094980,669165
2021.01.26 12:36:32,31685.49667295,665385
2021.01.26 13:09:08,31411.23000329,659631
2021.01.26 13:39:34,31739.35485780,666519
2021.01.26 13:56:26,31853.80858222,668913
2021.01.26 14:21:57,31603.43971694,663663
2021.01.26 14:39:45,31318.11695995,657678
2021.01.26 14:55:18,31351.29525790,658371
2021.01.26 15:24:18,31477.64368412,661017
2021.01.26 15:43:57,31846.75491249,668766
2021.01.26 16:11:45,31988.46274661,671748
2021.01.26 16:58:09,31995.55905190,671895
2021.01.26 17:49:45,32080.70853089,673680
2021.01.26 18:12:49,32024.53245412,672504
2021.01.26 18:52:33,32126.87750005,674646
2021.01.26 19:11:43,32388.87448554,680148
2021.01.26 19:37:51,32226.65162150,676746
2021.01.26 19:54:54,32160.04290610,675360
2021.01.26 20:20:46,32336.23815237,679056
2021.01.26 20:40:46,31926.82803427,670446
2021.01.26 20:55:45,31985.24717091,671685
2021.01.26 21:22:31,32108.33524454,674268
2021.01.26 21:41:44,32150.35729053,675150
2021.01.26 21:56:41,32072.55456667,673512
2021.01.26 22:27:31,32046.16720645,672966
2021.01.26 22:53:48,32325.57816129,678825
2021.01.26 23:14:41,32646.72653471,685566
2021.01.26 23:41:58,32606.53678805,684726
2021.01.26 23:59:25,32585.00331857,684285
2021.01.27 01:09:34,32291.32067737,678111
2021.01.27 02:11:30,32213.75235061,676473
2021.01.27 02:48:11,32213.46352019,676473
2021.01.27 03:06:01,31967.58357086,671307
2021.01.27 03:38:30,31829.34878613,668409
2021.01.27 04:01:29,31860.65213044,669060
2021.01.27 04:37:25,31890.83893808,669690
2021.01.27 05:03:13,31969.19097471,671349
2021.01.27 05:32:28,31618.61359524,663978
2021.01.27 05:51:56,31587.61735473,663327
2021.01.27 06:02:51,31573.20529988,663033
2021.01.27 06:33:35,31678.65484457,665238
2021.01.27 06:59:56,31708.31694025,665868
